,Unnamed: 0,Position,Nickname,FPPG,Salary,Opponent,Home,D,K,QB,RB,TE,WR,minTweetCounts,Predicted Ownership
261,261,TE,Darren Fells,6.619999695,4700,9.857142857,1,0,0,0,0,1,0,37,0.85636047
298,298,TE,David Njoku,6.242857252,4500,6.571428571,1,0,0,0,0,1,0,29,0.743002769
210,210,TE,Ed Dickson,5.928571429,5000,6,0,0,0,0,0,1,0,27,0.703427947
221,221,TE,Nick O'Leary,5.25,4900,3.571428571,1,0,0,0,0,1,0,27,0.660238552
341,341,TE,C.J. Fiedorowicz,6.599999905,4500,9.5,0,0,0,0,0,1,0,8,0.472405861
236,236,TE,George Kittle,5.685714177,4900,8.285714286,0,0,0,0,0,1,0,21,0.452960503
287,287,TE,Antonio Gates,3.485714231,4600,5,0,0,0,0,0,1,0,35,0.446926063
417,417,TE,Trey Burton,2.879999924,4500,3.857142857,1,0,0,0,0,1,0,50,0.435327071
294,294,TE,Niles Paul,0.949999988,4500,6.333333333,1,0,0,0,0,1,0,45,0.418331626
229,229,TE,Coby Fleener,5.599999746,4900,10,1,0,0,0,0,1,0,22,0.417139047
201,201,TE,Ryan Griffin,5.759999847,5100,9.5,0,0,0,0,0,1,0,26,0.415403013
431,431,TE,Alan Cross,1.049999952,4500,7.428571429,1,0,0,0,0,1,0,85,0.394435766
444,444,TE,Sean McGrath,1.5,4500,5,0,0,0,0,0,1,0,56,0.377759143
271,271,TE,Julius Thomas,4.01666673,4700,10.71428571,0,0,0,0,0,1,0,43,0.375169748
445,445,TE,Ross Travis,1.100000024,4500,6.833333333,1,0,0,0,0,1,0,8,0.35904453
309,309,TE,Ryan Hewitt,2.099999905,4500,5,1,0,0,0,0,1,0,34,0.345346506
443,443,TE,Brandon Williams,2.339999962,4500,6.833333333,0,0,0,0,0,1,0,45,0.331727816
324,324,TE,Eric Tomlinson,2.1,4500,5,1,0,0,0,0,1,0,8,0.328168433
381,381,TE,Jeremy Sprinkle,0,4500,6.333333333,1,0,0,0,0,1,0,15,0.327456051
484,484,TE,Demetrius Harris,2.939999962,4500,6.833333333,1,0,0,0,0,1,0,14,0.314368147
441,441,TE,Maxx Williams,1.466666698,4500,6.666666667,1,0,0,0,0,1,0,13,0.314368147
301,301,TE,Nick Boyle,2.842857088,4500,6.666666667,1,0,0,0,0,1,0,20,0.314368147
435,435,TE,Crockett Gillmore,3.420000076,4500,6.666666667,1,0,0,0,0,1,0,9,0.314368147
442,442,TE,Seth DeValve,4.771428789,4500,6.571428571,1,0,0,0,0,1,0,13,0.313480273
485,485,TE,Randall Telfer,1.700000048,4500,6.571428571,1,0,0,0,0,1,0,12,0.313480273
372,372,TE,A.J. Derby,5.083333333,4500,7.142857143,0,0,0,0,0,1,0,8,0.287795899
317,317,TE,Khari Lee,0,4500,3.571428571,1,0,0,0,0,1,0,9,0.285065285
325,325,TE,Clark Harris,0,4500,5,1,0,0,0,0,1,0,11,0.28349205
390,390,TE,C.J. Uzomah,1.800000032,4500,5,1,0,0,0,0,1,0,9,0.28349205
475,475,TE,Cethan Carter,0,4500,5,1,0,0,0,0,1,0,11,0.28349205
302,302,TE,Neal Sterling,0.649999976,4500,5,1,0,0,0,0,1,0,11,0.28349205
455,455,TE,Logan Thomas,4.75,4500,3.571428571,1,0,0,0,0,1,0,32,0.275951865
483,483,TE,Jordan Leggett,0,4500,5,1,0,0,0,0,1,0,31,0.274378629
416,416,TE,Chris Manhertz,1.600000024,4500,6,0,0,0,0,0,1,0,11,0.253940146
386,386,TE,Scott Simonson,0,4500,6,0,0,0,0,0,1,0,11,0.253940146
305,305,TE,Virgil Green,4.079999924,4500,7.142857143,0,0,0,0,0,1,0,17,0.243119516
478,478,TE,Jake Butt,0,4500,7.142857143,0,0,0,0,0,1,0,20,0.243119516
477,477,TE,Jeff Heuerman,4.633333206,4500,7.142857143,0,0,0,0,0,1,0,11,0.243119516
388,388,TE,Erik Swoope,4.800000085,4500,6.833333333,0,0,0,0,0,1,0,12,0.240852242
446,446,TE,Evan Baylis,0,4500,6.833333333,0,0,0,0,0,1,0,9,0.240852242
397,397,TE,Darrell Daniels,1.024999976,4500,6.833333333,0,0,0,0,0,1,0,11,0.240852242
392,392,TE,Sean Culkin,0,4500,5,0,0,0,0,0,1,0,11,0.232529475
329,329,TE,Asante Cleveland,0,4500,5,0,0,0,0,0,1,0,11,0.232529475
295,295,TE,Levine Toilolo,1.799999952,4500,5.142857143,0,0,0,0,0,1,0,11,0.232529475
310,310,TE,Eric Saubert,0,4500,5.142857143,0,0,0,0,0,1,0,9,0.232529475
500,500,TE,Luke Stocker,1,4500,7.428571429,1,0,0,0,0,1,0,11,0.203697849
315,315,TE,Antony Auclair,0,4500,7.428571429,1,0,0,0,0,1,0,11,0.203697849
340,340,TE,Luke Willson,4.28333346,4500,9.333333333,1,0,0,0,0,1,0,59,0.164077005
292,292,TE,Rico Gathers,0,4500,7.666666667,0,0,0,0,0,1,0,29,0.150089642
428,428,TE,Geoff Swaim,1.200000048,4500,7.666666667,0,0,0,0,0,1,0,9,0.130181944
424,424,TE,James Hanna,4.650000095,4500,7.666666667,0,0,0,0,0,1,0,11,0.130181944
281,281,TE,Vance McDonald,1.560000038,4600,13,0,0,0,0,0,1,0,19,0.118457345
414,414,TE,Andrew Price,0,4500,9.857142857,1,0,0,0,0,1,0,41,0.080701793
395,395,TE,Dwayne Allen,0,4500,8.571428571,1,0,0,0,0,1,0,31,0.067199103
427,427,TE,Anthony Fasano,5,4500,10.71428571,0,0,0,0,0,1,0,42,0.059058062
456,456,TE,Jacob Hollister,0.850000024,4500,8.571428571,1,0,0,0,0,1,0,15,0.047291406
347,347,TE,Will Tye,2.900000095,4500,8.571428571,1,0,0,0,0,1,0,13,0.047291406
389,389,TE,Kyle Nelson,0,4500,8.285714286,0,0,0,0,0,1,0,16,0.025647675
328,328,TE,Garrett Celek,2.439999962,4500,8.285714286,0,0,0,0,0,1,0,11,0.025647675
438,438,TE,Cole Hikutini,1,4500,8.285714286,0,0,0,0,0,1,0,10,0.025647675
462,462,TE,Logan Paulsen,0,4500,8.285714286,0,0,0,0,0,1,0,18,0.025647675
488,488,TE,Nick Vannett,1.5,4500,9.333333333,1,0,0,0,0,1,0,11,-0.010173782
354,354,TE,Michael Hoomanawanui,3.200000048,4500,10,1,0,0,0,0,1,0,9,-0.010173782
352,352,TE,Michael Roberts,2,4500,9.857142857,1,0,0,0,0,1,0,22,-0.010173782
349,349,TE,Clay Harbor,1.700000048,4500,10,1,0,0,0,0,1,0,11,-0.010173782
410,410,TE,Josh Hill,2.599999905,4500,10,1,0,0,0,0,1,0,20,-0.010173782
339,339,TE,Daniel Brown,4.399999936,4500,10.83333333,0,0,0,0,0,1,0,25,-0.011909815
320,320,TE,Clive Walford,0.533333341,4500,9.333333333,0,0,0,0,0,1,0,11,-0.031817513
419,419,TE,Stephen Anderson,3.620000076,4500,9.5,0,0,0,0,0,1,0,22,-0.031817513
486,486,TE,Xavier Grimble,1.700000048,4500,13,0,0,0,0,0,1,0,16,-0.031817513
291,291,TE,Lee Smith,1.950000048,4500,9.333333333,0,0,0,0,0,1,0,13,-0.031817513
394,394,TE,Dion Sims,3.759999847,4500,10.83333333,0,0,0,0,0,1,0,13,-0.031817513
433,433,TE,MarQueis Gray,0,4500,10.71428571,0,0,0,0,0,1,0,16,-0.031817513
14,14,WR,DeAndre Hopkins,15.44999949,8000,9.5,0,0,0,0,0,0,1,61,21.90572894
8,8,WR,A.J. Green,14.66666667,8500,5,1,0,0,0,0,0,1,23,14.56056394
2,2,WR,Antonio Brown,17.21428571,9200,13,0,0,0,0,0,0,1,33,13.38427615
12,12,WR,Mike Evans,14.48333359,8200,7.428571429,1,0,0,0,0,0,1,61,12.74319971
46,46,WR,Stefon Diggs,14.96000061,7000,5.857142857,0,0,0,0,0,0,1,18,12.33249057
62,62,WR,Will Fuller V,16.76666641,6500,9.5,0,0,0,0,0,0,1,41,11.32885847
30,30,WR,Tyreek Hill,13.67142814,7600,6.833333333,1,0,0,0,0,0,1,49,9.541400072
4,4,WR,Julio Jones,11.59999975,8700,5.142857143,0,0,0,0,0,0,1,35,7.611610306
137,137,WR,Nelson Agholor,11.22857121,6000,3.857142857,1,0,0,0,0,0,1,38,7.598800854
199,199,WR,Marvin Hall,10.5,5100,5.142857143,0,0,0,0,0,0,1,21,7.231066368
496,496,WR,Johnny Holton,12.89999962,4500,9.333333333,0,0,0,0,0,0,1,11,6.365326359
20,20,WR,Brandin Cooks,12.67142814,7900,8.571428571,1,0,0,0,0,0,1,52,5.571287195
41,41,WR,Michael Crabtree,13.80000051,7200,9.333333333,0,0,0,0,0,0,1,65,5.557474245
11,11,WR,Dez Bryant,11.78333282,8300,7.666666667,0,0,0,0,0,0,1,46,5.300729598
22,22,WR,Keenan Allen,10.38571385,7800,5,0,0,0,0,0,0,1,49,5.196274922
38,38,WR,Jarvis Landry,12.71666718,7400,10.71428571,0,0,0,0,0,0,1,27,4.716271826
55,55,WR,Adam Thielen,10.21428571,6700,5.857142857,0,0,0,0,0,0,1,49,4.602115979
36,36,WR,Chris Hogan,11.92857143,7400,8.571428571,1,0,0,0,0,0,1,53,4.534519406
25,25,WR,Doug Baldwin,11.55000051,7700,9.333333333,1,0,0,0,0,0,1,38,4.468242814
73,73,WR,Jermaine Kearse,10.04285758,6400,5,1,0,0,0,0,0,1,47,4.347856449
64,64,WR,Devin Funchess,9.728571211,6500,6,0,0,0,0,0,0,1,57,3.795958055
56,56,WR,Emmanuel Sanders,10.21999969,6600,7.142857143,0,0,0,0,0,0,1,55,3.644463731
34,34,WR,Michael Thomas,11.63333384,7500,10,1,0,0,0,0,0,1,55,3.60131742
58,58,WR,Alshon Jeffery,8.914285932,6600,3.857142857,1,0,0,0,0,0,1,37,3.460047001
57,57,WR,Kelvin Benjamin,9.157142639,6600,6,0,0,0,0,0,0,1,43,3.17332382
35,35,WR,Golden Tate,11.19999949,7400,9.857142857,1,0,0,0,0,0,1,63,3.024209559
440,440,WR,Mack Hollins,7.46666654,4500,3.857142857,1,0,0,0,0,0,1,35,2.874725683
44,44,WR,T.Y. Hilton,9.814285278,7200,6.833333333,0,0,0,0,0,0,1,16,2.442463651
142,142,WR,Robby Anderson,7.942856925,5800,5,1,0,0,0,0,0,1,26,2.259214541
85,85,WR,DeSean Jackson,9.833333333,6100,7.428571429,1,0,0,0,0,0,1,53,2.205267171
149,149,WR,Mohamed Sanu,8.040000153,5600,5.142857143,0,0,0,0,0,0,1,26,2.161287431
254,254,WR,Corey Coleman,7.599999905,4800,6.571428571,1,0,0,0,0,0,1,32,2.038290774
175,175,WR,Kenny Stills,9.799999873,5400,10.71428571,0,0,0,0,0,0,1,51,1.724861679
147,147,WR,Danny Amendola,8.816666921,5700,8.571428571,1,0,0,0,0,0,1,29,1.688806021
48,48,WR,Demaryius Thomas,8.650000254,6900,7.142857143,0,0,0,0,0,0,1,43,1.643106181
54,54,WR,Pierre Garcon,9.61428615,6700,8.285714286,0,0,0,0,0,0,1,15,1.561833747
86,86,WR,Marvin Jones Jr.,9.333333333,6100,9.857142857,1,0,0,0,0,0,1,7,1.530416621
273,273,WR,Paul Richardson,8.816666921,4700,9.333333333,1,0,0,0,0,0,1,38,1.44525741
139,139,WR,Ted Ginn Jr.,10.25,5900,10,1,0,0,0,0,0,1,11,1.328475685
115,115,WR,DeVante Parker,9.774999619,6000,10.71428571,0,0,0,0,0,0,1,31,1.260402941
162,162,WR,Kenny Golladay,8.566666921,5500,9.857142857,1,0,0,0,0,0,1,27,1.24080887
42,42,WR,Amari Cooper,9.728571211,7200,9.333333333,0,0,0,0,0,0,1,32,1.213187267
97,97,WR,Jeremy Maclin,7.180000305,6000,6.666666667,1,0,0,0,0,0,1,50,1.103812823
150,150,WR,Travis Benjamin,7.385714395,5600,5,0,0,0,0,0,0,1,55,1.091221545
204,204,WR,Brice Butler,7.340000153,5100,7.666666667,0,0,0,0,0,0,1,73,1.090463729
155,155,WR,Albert Wilson,7.200000127,5500,6.833333333,1,0,0,0,0,0,1,30,1.01957086
169,169,WR,Kendall Wright,7.919999695,5400,10.83333333,0,0,0,0,0,0,1,22,1.018176999
196,196,WR,Torrey Smith,4.814285823,5200,3.857142857,1,0,0,0,0,0,1,57,0.901744746
182,182,WR,Brandon Coleman,7.183333079,5300,10,1,0,0,0,0,0,1,48,0.766087605
270,270,WR,Ryan Grant,6.28333346,4700,6.333333333,1,0,0,0,0,0,1,34,0.504362208
209,209,WR,Adam Humphries,6.266666412,5000,7.428571429,1,0,0,0,0,0,1,22,0.360191251
228,228,WR,Deonte Thompson,6.116666794,4900,3.571428571,1,0,0,0,0,0,1,27,0.356696861
396,396,WR,Bennie Fowler,6.583333333,4500,7.142857143,0,0,0,0,0,0,1,20,0.353350512
159,159,WR,JuJu Smith-Schuster,7.085714068,5500,13,0,0,0,0,0,0,1,50,0.348662311
195,195,WR,Josh Doctson,5.679999924,5200,6.333333333,1,0,0,0,0,0,1,37,0.266719813
230,230,WR,Marquise Goodwin,6.5,4900,8.285714286,0,0,0,0,0,0,1,28,0.265787692
350,350,WR,Chris Moore,5.333333333,4500,6.666666667,1,0,0,0,0,0,1,54,0.231560889
448,448,WR,Malcolm Mitchell,6.674999873,4500,8.571428571,1,0,0,0,0,0,1,23,0.224394634
181,181,WR,Mike Wallace,5.600000109,5300,6.666666667,1,0,0,0,0,0,1,36,0.200875966
391,391,WR,Marcus Johnson,0.800000012,4500,3.857142857,1,0,0,0,0,0,1,43,0.159433295
198,198,WR,Jamison Crowder,3.633333206,5100,6.333333333,1,0,0,0,0,0,1,31,0.150458521
78,78,WR,Terrelle Pryor Sr.,6.21666654,6300,6.333333333,1,0,0,0,0,0,1,7,0.141231468
189,189,WR,Tyler Lockett,6.166666667,5200,9.333333333,1,0,0,0,0,0,1,52,0.13272183
400,400,WR,Sammie Coates,0.800000012,4500,6.571428571,1,0,0,0,0,0,1,46,0.115278474
260,260,WR,Kenny Britt,4.759999847,4700,6.571428571,1,0,0,0,0,0,1,32,0.109172423
263,263,WR,Ricardo Louis,5.071428571,4700,6.571428571,1,0,0,0,0,0,1,32,0.109172423
434,434,WR,Josh Gordon,0,4500,6.571428571,1,0,0,0,0,0,1,35,0.102004387
244,244,WR,Curtis Samuel,1.920000076,4800,6,0,0,0,0,0,0,1,35,0.100945957
215,215,WR,Donte Moncrief,6.014285496,5000,6.833333333,0,0,0,0,0,0,1,24,0.100780999
330,330,WR,Shelton Gibson,0,4500,3.857142857,1,0,0,0,0,0,1,13,0.097578839
361,361,WR,Chris Godwin,1.920000076,4500,7.428571429,1,0,0,0,0,0,1,112,0.092084306
265,265,WR,De'Anthony Thomas,3.485714231,4700,6.833333333,1,0,0,0,0,0,1,14,0.0901526
267,267,WR,Rashard Higgins,3.416666667,4700,6.571428571,1,0,0,0,0,0,1,14,0.089264726
262,262,WR,John Ross,-0.800000012,4700,5,1,0,0,0,0,0,1,44,0.082533552
385,385,WR,Brian Quick,1.600000024,4500,6.333333333,1,0,0,0,0,0,1,35,0.077382759
144,144,WR,Jordan Matthews,5.840000153,5700,3.571428571,1,0,0,0,0,0,1,31,0.069188567
284,284,WR,Breshad Perriman,0.766666651,4600,6.666666667,1,0,0,0,0,0,1,18,0.068041797
177,177,WR,Jeremy Kerley,5.916666667,5300,5,1,0,0,0,0,0,1,26,0.031413467
373,373,WR,Jeremy Butler,1.049999952,4500,3.571428571,1,0,0,0,0,0,1,18,0.022445596
364,364,WR,Walter Powell,3.028571538,4500,3.571428571,1,0,0,0,0,0,1,12,0.022445596
362,362,WR,Zay Jones,1.966666698,4500,3.571428571,1,0,0,0,0,0,1,25,0.013332176
377,377,WR,Jehu Chesson,0,4500,6.833333333,1,0,0,0,0,0,1,11,0.012016687
490,490,WR,Griff Whalen,4.300000191,4500,6.666666667,1,0,0,0,0,0,1,16,0.012016687
502,502,WR,Vince Mayle,2.066666603,4500,6.666666667,1,0,0,0,0,0,1,10,0.012016687
499,499,WR,Michael Campanaro,3.485714231,4500,6.666666667,1,0,0,0,0,0,1,18,0.012016687
423,423,WR,Bryce Treggs,3.100000064,4500,6.571428571,1,0,0,0,0,0,1,11,0.011128813
357,357,WR,Kasen Williams,2.149999936,4500,6.571428571,1,0,0,0,0,0,1,13,0.011128813
232,232,WR,Russell Shepard,3.271428517,4900,6,0,0,0,0,0,0,1,12,0.010070383
268,268,WR,Cole Beasley,5.549999873,4700,7.666666667,0,0,0,0,0,0,1,47,0.006177664
463,463,WR,Cody Core,0,4500,5,1,0,0,0,0,0,1,34,0.004397639
216,216,WR,Laquon Treadwell,2.933333397,5000,5.857142857,0,0,0,0,0,0,1,24,0.000956962
276,276,WR,Brandon LaFell,4.850000064,4600,5,1,0,0,0,0,0,1,12,-0.001431708
79,79,WR,Tyrell Williams,6.32857132,6200,5,0,0,0,0,0,0,1,32,-0.001699134
255,255,WR,Terrance Williams,4.583333333,4700,7.666666667,0,0,0,0,0,0,1,46,-0.039115752
453,453,WR,Ryan Switzer,-0.066666668,4500,7.666666667,0,0,0,0,0,0,1,62,-0.044883265
264,264,WR,Jarius Wright,4.699999809,4700,5.857142857,0,0,0,0,0,0,1,10,-0.055837343
332,332,WR,Alex Erickson,2.033333302,4500,5,1,0,0,0,0,0,1,14,-0.057456817
429,429,WR,Chad Hansen,0,4500,5,1,0,0,0,0,0,1,11,-0.057456817
312,312,WR,ArDarius Stewart,1.233333349,4500,5,1,0,0,0,0,0,1,9,-0.057456817
300,300,WR,Charone Peake,0.800000012,4500,5,1,0,0,0,0,0,1,9,-0.057456817
449,449,WR,Tyler Boyd,1.825000048,4500,5,1,0,0,0,0,0,1,19,-0.057456817
322,322,WR,Josh Malone,0,4500,5,1,0,0,0,0,0,1,17,-0.057456817
353,353,WR,Hunter Sharp,0,4500,7.142857143,0,0,0,0,0,0,1,8,-0.061520096
170,170,WR,Taylor Gabriel,5.566666921,5400,5.142857143,0,0,0,0,0,0,1,27,-0.066513643
380,380,WR,Michael Floyd,1.700000048,4500,5.857142857,0,0,0,0,0,0,1,35,-0.0721188
360,360,WR,Jordan Taylor,2.650000095,4500,7.142857143,0,0,0,0,0,0,1,26,-0.086288781
187,187,WR,Phillip Dorsett,2.799999952,5200,8.571428571,1,0,0,0,0,0,1,26,-0.093375992
370,370,WR,Carlos Henderson,0,4500,7.142857143,0,0,0,0,0,0,1,11,-0.106196479
313,313,WR,Cody Latimer,1.066666683,4500,7.142857143,0,0,0,0,0,0,1,19,-0.106196479
371,371,WR,Isaiah McKenzie,0.179999995,4500,7.142857143,0,0,0,0,0,0,1,18,-0.106196479
408,408,WR,Kamar Aiken,2.257142884,4500,6.833333333,0,0,0,0,0,0,1,10,-0.108463753
413,413,WR,Quan Bray,0.771428585,4500,6.833333333,0,0,0,0,0,0,1,11,-0.108463753
450,450,WR,Chester Rogers,3.099999905,4500,6.833333333,0,0,0,0,0,0,1,9,-0.108463753
382,382,WR,Kaelin Clay,0.824999988,4500,6,0,0,0,0,0,0,1,23,-0.114065558
436,436,WR,Dan Arnold,0,4500,10,1,0,0,0,0,0,1,86,-0.121787325
492,492,WR,Noah Brown,1.799999952,4500,7.666666667,0,0,0,0,0,0,1,39,-0.128258477
331,331,WR,Stacy Coley,0,4500,5.857142857,0,0,0,0,0,0,1,9,-0.133973256
452,452,WR,R.J. Shelton,0,4500,5.857142857,0,0,0,0,0,0,1,9,-0.133973256
498,498,WR,Damiere Byrd,0.300000012,4500,6,0,0,0,0,0,0,1,9,-0.133973256
337,337,WR,Rodney Adams,0,4500,5.857142857,0,0,0,0,0,0,1,13,-0.133973256
432,432,WR,Fred Ross Jr.,0,4500,6,0,0,0,0,0,0,1,9,-0.133973256
466,466,WR,Brenton Bersin,1.350000024,4500,6,0,0,0,0,0,0,1,11,-0.133973256
333,333,WR,Andre Roberts,0.283333341,4500,5.142857143,0,0,0,0,0,0,1,10,-0.155383927
351,351,WR,Nick Williams,4.5,4500,5.142857143,0,0,0,0,0,0,1,22,-0.155383927
457,457,WR,Isaiah Burse,0,4500,5,0,0,0,0,0,0,1,9,-0.155383927
415,415,WR,C.J. Goodwin,0,4500,5.142857143,0,0,0,0,0,0,1,12,-0.155383927
474,474,WR,Josh Bellamy,5.46666654,4500,10.83333333,0,0,0,0,0,0,1,63,-0.161589306
365,365,WR,Justin Hardy,4.650000095,4500,5.142857143,0,0,0,0,0,0,1,24,-0.164497348
252,252,WR,Chris Conley,4.6,4800,6.833333333,1,0,0,0,0,0,1,99,-0.170623447
194,194,WR,TJ Jones,5.159999847,5200,9.857142857,1,0,0,0,0,0,1,19,-0.170748877
218,218,WR,Aldrick Robinson,4.633333206,4900,8.285714286,0,0,0,0,0,0,1,12,-0.181891956
178,178,WR,Martavis Bryant,5.799999782,5300,13,0,0,0,0,0,0,1,39,-0.194541503
387,387,WR,Eli Rogers,1.975000024,4500,13,0,0,0,0,0,0,1,53,-0.206882722
467,467,WR,Austin Carr,0,4500,10,1,0,0,0,0,0,1,38,-0.221649667
439,439,WR,Matthew Slater,-0.375,4500,8.571428571,1,0,0,0,0,0,1,29,-0.235152357
238,238,WR,Cordarrelle Patterson,5.157142639,4800,9.333333333,0,0,0,0,0,0,1,12,-0.239357144
245,245,WR,Seth Roberts,4.100000109,4800,9.333333333,0,0,0,0,0,0,1,21,-0.239357144
167,167,WR,Willie Snead,1.600000024,5400,10,1,0,0,0,0,0,1,32,-0.242194529
274,274,WR,Bruce Ellington,5.640000153,4700,9.5,0,0,0,0,0,0,1,10,-0.259971454
470,470,WR,Chris Thompson,0.800000032,4500,9.5,0,0,0,0,0,0,1,35,-0.290257934
469,469,WR,Tommylee Lewis,2.539999962,4500,10,1,0,0,0,0,0,1,28,-0.292617544
494,494,WR,Tanner McEvoy,-0.333333333,4500,9.333333333,1,0,0,0,0,0,1,24,-0.292617544
451,451,WR,Corey Fuller,0,4500,10,1,0,0,0,0,0,1,14,-0.312525242
476,476,WR,Andy Jones,0,4500,9.857142857,1,0,0,0,0,0,1,18,-0.312525242
374,374,WR,Amara Darboh,1.6,4500,9.333333333,1,0,0,0,0,0,1,12,-0.312525242
342,342,WR,Jared Abbrederis,2.950000048,4500,9.857142857,1,0,0,0,0,0,1,15,-0.312525242
367,367,WR,Demarcus Robinson,3.875,4500,6.833333333,1,0,0,0,0,0,1,72,-0.314667085
460,460,WR,Chris Matthews,1.333333333,4500,6.666666667,1,0,0,0,0,0,1,66,-0.314667085
409,409,WR,Aaron Burbridge,1.287500024,4500,8.285714286,0,0,0,0,0,0,1,12,-0.323668321
375,375,WR,Trent Taylor,4.057142803,4500,8.285714286,0,0,0,0,0,0,1,20,-0.323668321
376,376,WR,Kendrick Bourne,0,4500,8.285714286,0,0,0,0,0,0,1,12,-0.323668321
501,501,WR,Victor Bolden Jr.,0,4500,8.285714286,0,0,0,0,0,0,1,9,-0.323668321
293,293,WR,BJ Johnson III,0,4500,8.285714286,0,0,0,0,0,0,1,9,-0.323668321
282,282,WR,Dontrelle Inman,0.633333325,4600,10.83333333,0,0,0,0,0,0,1,12,-0.327375673
303,303,WR,Justin Hunter,1.049999952,4500,13,0,0,0,0,0,0,1,25,-0.361225811
355,355,WR,Tanner Gentry,1.666666667,4500,10.83333333,0,0,0,0,0,0,1,29,-0.361225811
481,481,WR,Braxton Miller,2.625,4500,9.5,0,0,0,0,0,0,1,27,-0.361225811
217,217,WR,Mike Williams,1,5000,5,0,0,0,0,0,0,1,72,-0.367045179
465,465,WR,Deante' Gray,0,4500,9.5,0,0,0,0,0,0,1,9,-0.381133508
393,393,WR,Rueben Randle,0,4500,10.83333333,0,0,0,0,0,0,1,12,-0.381133508
495,495,WR,Jakeem Grant,0.5,4500,10.71428571,0,0,0,0,0,0,1,12,-0.381133508
323,323,WR,Rashawn Scott,0,4500,10.71428571,0,0,0,0,0,0,1,9,-0.381133508
421,421,WR,Darrius Heyward-Bey,2.599999905,4500,13,0,0,0,0,0,0,1,13,-0.381133508
473,473,WR,Markus Wheaton,0.466666659,4500,10.83333333,0,0,0,0,0,0,1,13,-0.381133508
379,379,WR,Leonte Carroo,0.866666635,4500,10.71428571,0,0,0,0,0,0,1,11,-0.381133508
297,297,WR,Isaiah Ford,0,4500,10.71428571,0,0,0,0,0,0,1,12,-0.381133508
304,304,WR,Tre McBride,2.299999952,4500,10.83333333,0,0,0,0,0,0,1,10,-0.381133508
504,504,WR,Reggie Davis,0,4500,5.142857143,0,0,0,0,0,0,1,102,-0.511088818
257,257,WR,Brandon Tate,2.375,4700,3.571428571,1,0,0,0,0,0,1,71,-0.613089604
378,378,WR,Andre Holmes,3.433333397,4500,3.571428571,1,0,0,0,0,0,1,94,-0.691225516
